,,,
Source,https://www.nei.org/Knowledge-Center/Nuclear-Statistics/US-Nuclear-Power-Plants/US-Nuclear-Generating-Statistics,,
,,,
Year,Total Electricity Generation (MWh),Nuclear Generation (MWh),Nuclear Fuel Share (Percent)
1971,1615853616,38104545,2.4
1972,1752978413,54091135,3.1
1973,1864056631,83479463,4.5
1974,1870319405,113975740,6.1
1975,1920754569,172505075,9
1976,2040913681,191103531,9.4
1977,2127447487,250883283,11.8
1978,2209376911,276403070,12.5
1979,2250665025,255154623,11.3
1980,2289600364,251115575,11
1981,2297973339,272673503,11.9
1982,2244372488,282773248,12.6
1983,2313445685,293677119,12.7
1984,2419465368,327633549,13.5
1985,2473002122,383690727,15.5
1986,2490470952,414038063,16.6
1987,2575287666,455270382,17.7
1988,2707411177,526973047,19.5
1989,2967305524,529354717,17.8
1990,3037988277,576861678,19
1991,3073798885,612565087,19.9
1992,3083882204,618776263,20.1
1993,3197191096,610291214,19.1
1994,3247522388,640439832,19.7
1995,3353487362,673402123,20.1
1996,3444187621,674728546,19.6
1997,3492172283,628644171,18
1998,3620295498,673702104,18.6
1999,3694809810,728254124,19.7
2000,3802105043,753892940,19.8
2001,3736643653,768826308,20.6
2002,3858452252,780064087,20.2
2003,3883185205,763732695,19.7
2004,3970555289,788528387,19.9
2005,4055422744,781986365,19.3
2006,4064702228,787218636,19.4
2007,4156744724,806424753,19.4
2008,4119387760,806208435,19.6
2009,3950330927,798854585,20.2
2010,4125059890,806968301,19.6
2011,4100140927,790204367,19.3
2012,4047765260,769331249,19
2013,4065964097,789016473,19.4
2014,4092535039,797165982,19.5
2015,4087381483,797177533,19.5
2016,4078669996,805327221,19.7
