Year,Capacity Factor
1965,55.9
1966,55.9
1967,55.9
1968,55.9
1969,55.9
1970,55.9
1971,55.9
1972,55.9
1973,55.9
1974,55.9
1975,55.9
1976,55.98
1977,56.06
1978,56.14
1979,56.22
1980,56.3
1981,56.64
1982,56.98
1983,57.32
1984,57.66
1985,58
1986,59.6
1987,61.2
1988,62.8
1989,64.4
1990,66
1991,68.28
1992,70.56
1993,72.84
1994,75.12
1995,77.4
1996,79.54
1997,81.68
1998,83.82
1999,85.96
2000,88.1
2001,88.34
2002,88.58
2003,88.82
2004,89.06
2005,89.3
2006,89.66
2007,90.02
2008,90.38
2009,90.74
2010,91.1
2011,89.1
2012,96.1
2013,89.9
2014,91.7
2015,92.3
2016,92.5
2017,92.5
2018,92.5
2019,92.5
2020,92.5
2021,92.5
2022,92.5
2023,92.5
2024,92.5
2025,92.5
2026,92.5
2027,92.5
2028,92.5
2029,92.5
2030,92.5
2031,92.5
2032,92.5
2033,92.5
2034,92.5
2035,92.5
2036,92.5
2037,92.5
2038,92.5
2039,92.5
2040,92.5
2041,92.5
2042,92.5
2043,92.5
2044,92.5
2045,92.5
2046,92.5
2047,92.5
2048,92.5
2049,92.5
