run _number,mutation type,population size,mutation rate,crossover rate,constraint penalty,haleu swu, mmr_share,xe100_share,voygr_share,lwr,mmr_burnup,xe100_burnup
0,replace_uniform,5,0.045,0.299,1.606,4.7622998175e8,7,18,75,34,78,151
1,replace_uniform,5,0.029,0.187,1.219,1.9984828922e9,66,89,39,43,86,168
2,replace_uniform,5,0.02,0.214,1.084,3.1963872966e9,38,35,28,15,78,28
3,replace_uniform,5,0.132,0.414,1.552,2.1534706848e9,57,15,2,36,90,112
4,replace_uniform,10,0.147,0.23,0.572,7.2836812274e8,15,23,98,41,86,84
5,replace_uniform,10,0.17,0.135,0.663,3.6103820787e8,7,9,84,31,86,168
6,replace_uniform,10,0.02,0.782,1.277,3.7130534034e8,6,22,78,48,86,185
7,replace_uniform,10,0.16,0.111,1.131,1.0493968162e8,0,8,91,50,74,185
8,replace_uniform,25,0.179,0.143,1.059,1.5623205354e8,6,0,95,49,90,151
9,replace_uniform,25,0.103,0.368,1.156,1.1694228064e9,34,5,61,44,90,151
10,replace_uniform,25,0.089,0.502,1.626,7.6052873278e7,0,4,95,50,90,168
11,replace_uniform,25,0.029,0.888,1.986,7.7770601354e7,1,2,98,48,78,185
12,replace_uniform,50,0.131,0.702,1.831,1.2036687829e8,2,4,94,50,90,185
13,replace_uniform,50,0.054,0.347,1.029,5.1747911245e7,0,1,98,50,41,185
14,replace_uniform,50,0.152,0.22,0.844,1.2472915731e8,3,4,99,42,90,185
15,replace_uniform,50,0.042,0.105,1.036,5.7053328451e7,2,0,92,43,90,168
16,replace_uniform,100,0.137,0.336,1.698,2.7384823645e8,5,6,89,26,90,140
17,replace_uniform,100,0.194,0.659,1.15,3.2993367930e8,3,22,75,43,90,168
18,replace_uniform,100,0.189,0.331,1.378,4.3473407484e8,8,19,73,46,82,185
19,replace_uniform,100,0.013,0.488,1.712,2.1585813815e8,3,11,87,48,82,185
20,offset_normal,5,0.135,0.811,1.76,3.2334721273e8,6,7,90,37,62,168
21,offset_normal,5,0.126,0.745,0.678,4.8136669339e8,13,2,85,47,86,140
22,offset_normal,5,0.16,0.797,1.564,2.0409923953e8,4,4,92,50,78,151
23,offset_normal,5,0.048,0.619,0.908,5.2206816636e8,11,5,84,7,90,112
24,offset_normal,10,0.118,0.359,1.298,5.0539882438e8,0,45,55,27,41,168
25,offset_normal,10,0.063,0.258,1.837,8.2704821656e8,10,59,59,43,62,168
26,offset_normal,10,0.121,0.711,1.471,1.9858820143e9,44,18,38,9,86,140
27,offset_normal,10,0.106,0.853,1.723,9.0403697094e8,13,30,56,14,86,151
28,offset_normal,25,0.113,0.5,0.648,0,0,0,75,35,86,56
29,offset_normal,25,0.182,0.653,1.254,1.0643040694e9,28,29,73,50,74,185
30,offset_normal,25,0.062,0.3,1.315,8.5750107139e8,18,23,59,42,90,140
31,offset_normal,25,0.127,0.566,1.92,6.8049470853e8,8,48,53,46,82,168
32,offset_normal,50,0.066,0.189,1.398,9.3236415164e8,14,70,16,44,82,185
33,offset_normal,50,0.072,0.161,1.128,3.5450421272e8,7,14,79,49,82,185
34,offset_normal,50,0.133,0.836,1.093,2.7641239198e8,0,33,93,31,74,185
35,offset_normal,50,0.069,0.451,0.834,1.0487547783e9,12,49,41,2,86,168
36,offset_normal,100,0.133,0.304,1.463,8.0884988502e7,0,6,94,45,86,185
37,offset_normal,100,0.033,0.543,1.956,7.6417511643e7,1,3,98,47,90,185
38,offset_normal,100,0.059,0.664,1.261,4.3748931660e7,0,3,100,48,74,185
39,offset_normal,100,0.029,0.714,1.462,7.4230119553e7,1,1,100,39,74,185
